texto,sentimento
"eu tinha um preconceito gigante por auto-ajuda, sentia que quem escrevia eram gurus que não tinham capacidade de escrever uma obra de respeito. em suma, eu achava que era enrolação. entretanto esse livro me fez olhar o desenvolvimento pessoal como algo incrível, pois o método de obter sucesso com as pessoas foi mostrado como algo totalmente diferente do que eu esperava. a única parte que me arrependo foi demorar tanto para lê-lo.",satisfação
"sei lá, não peguei o hype, você pode traduzir todo o livro em uma simples frase: aja decentemente com as pessoas.não foi uma leitura ruim, mas longe de ter sido isso tudo que dizem.",neutro
"esta obra é conhecida por muitos e bem falada por quase todos. e não é atoa: com exemplos e histórias simples e bem explicadas, os princípios presentes no livro são fáceis de serem entendidos, e imediatamente aplicáveis, tanto na vida profissional, quanto na vida pessoal. algumas dicas rápidas são dadas ao longo do livro, que tornam a leitura mais dinâmica e divertida, todos os princípios ensinados são bem destacados e não ficam dúvidas em relação à cada capítulo, se sobrou dúvidas, talvez seja interessante reler alguns trechos. creio que será um livro revisitado ao longo dos tempos por mim, por se tratar de uma leitura fácil, conseguirei consultar dicas, técnicas e princípios de relações pessoais sem grandes dificuldades. sem dúvidas recomendo à todos, ao final da leitura você estará entendendo muito mais sobre empatia e fraternidade, tornando-se um ótimo amigo, vendedor, ou o que quer que seja, se fizer o uso dos ensinamentos feitos no livro. nota 10.",satisfação
"o cerne edo conteudo é bom, mas a redacao é extramente prolixa, repetitiva. dava para enxugar tudo em metade do texto. muita repeticao, famosa ""enchecao de linguaca"". leitura ruim.",neutro
"fiquei entusiasmado ao poder ter a oportunidade de ler esse livro, pelo tanto em que via em que as pessoas o elogiavam. mas não sei se criei uma expectativa além do que o livro acabou por oferecer e acabei não achando lá essas coisas. não gostei muito pelo fato de não ter nenhuma evidência científica do que o autor sustenta nessa obra, sendo somente um conhecimento empírico do conteúdo passado. li livros como ""o poder do hábito"" e nesse sim; há uma argumentação com embasamento científico em vários periódicos, o que, pra mim, um leitor que gosta de fontes, se torna extraordinário. no mais, o livro bom mas deixa a desejar nesse aspecto. o livro parece mais um manual com vários trechos retirados de conversas feitas com empresários etc e como esses sujeitos melhoram o seu ofício com os ensinamentos do autor. coisas clichês como: em vez de criticar, elogie; aprenda a ouvir mais o outro; evitar criticar e faça um elogio etc... coisas tão básicas e simplórios que no meu ver, uma pessoa adulta jovem através de suas experiências coletivas já consegue perceber isso e não precisa ler um livro para compreender. por fim, comprei, li e não me arrependo. mas no meu ponto de vista deixa a desejar",satisfação
"que livro meus caros leitores.esse com toda e maior certeza se tornou meu livro de cabeceira, boa escrita, ótimo conteúdo, leitura obrigatória para todo e qualquer tipo de leitor. edição linda, simples mas, ao mesmo tempo esplêndida, o famoso menos é mais.o livro veio com uma pequena falha na capa, mas nada que seja necessário a troca.amazon nunca decepciona quando o assunto é entrega rápida.nada a reclamar, só enaltecer e indicar essa leitura maravilhosa!!",satisfação
"já havia lido esse livro antes, mas sem ter feito os devidos destaques. agora  que li após ter feito os devidos destaques posso ter maior facilidade para realizar consultas futuras, pois na minha opinião esse é um livro que vale as consultas no futuro. apesar do título ser um pouco apelativo, as situações e ideias apresentadas ao decorrer do livro são ótimas para compreendermos mais um pouco sobre o comportamento humano e como nos relacionarmos melhor com as pessoas a nossa volta. em resumo, a aplicação das ideias apresentadas nesse livro pode trazer uma melhoria de vida significativa para aqueles que buscam maneiras de se relacionarem melhor para com os outros, inclusive no campo dos negócios.",satisfação
"recomendável, o autor trouxe uma série de recomendações aplicáveis no dia a dia que te darão uma facilidade nas interações sociais, como todo livro desta área só pela aplicação destes princípios se poderá obter os resultados desejados.",satisfação
"este livro é uma leitura obrigatória. resumidamente: você pode ter muito estudo e ser um mestre em muitas áreas da vida, mas se não souber lidar com pessoas será facilmente ""desbancado"" por alguém que tenha 1/3 do seu estudo, mas que sabe lidar com as pessoas.obs. todo gestor deveria ler este livro. pois infelizmente na maior parte das empresas há gestores que sabem de tudo, menos lidar com pessoas.",satisfação
"                    a mídia não pôde ser carregada.                 o livro veio com defeitos nas páginas 193, 194,195 e 196. com isso impossibilitando de ler as páginas mencionadas.estão rasgadas, grudadas e com marca de tinta de impressão.",insatisfação
"apesar do livro ter sido escrito anos, décadas atrás.  o livro, ainda, pode ser utilizado para os tempos modernos, além de ter várias situações como exemplo para melhor entender e praticar no dia a dia. são coisas básicas,mas, que fazem muita diferença",neutro
"livro incrível, se quiser melhorar sua relação no geral com as pessoas, pode comprar que é sucesso!!",satisfação
"o livro é extremamente empolgante e revigorante.terminei a leitura com certa facilidade mesmo levando em consideração as recomendações de leitura dos capítulos ""duas vezes"".tipo de leitura: fácil, empolgante.velocidade da leitura: moderada, rápida.tenho a sensação que já adoto algumas das atitudes e inspirações do livro. 😉",satisfação
"leitura de fácil compreensão e compreensão muitos exemplos que me deixou muito reflexiva. vou adotar e também aplicar com leitura de cabeceira para manter vivo os ensinamentos.acredito que esta leitura me deu algo diferente, algo que a muito não prestava atenção por esta no piloto automático.já estou seguindo no insta e gratidão ao jonatas que me indicou esta leitura.",satisfação
"o título não me parecia muito estimulante, mas como foi bem recomendado resolvi arriscar. gostei bastante. muitos e variados exemplos de situações em que podemos refletir, pensar, agir inteligentemente, se tornar mais empáticos e um pouco melhor no processo de aperfeiçoamento nas relações humanas. recomendo para todos que buscam essa lapidação e melhora pessoal e profissional.",satisfação
"se você tem mais de 30 anos e nunca leu esse livro, você está terrivelmente atrasado.aliás, a leitura obrigatória desse livro na adolescência pouparia nossa sociedade de um milhão de problemas.dale carnegie é um clássico atemporal.",satisfação
"este livro é atualíssimo, e mostra o valor do relacionamento das pessoas no dia dia e na ascensão profissional. numa época em que tudo é judicializado, as pessoas com opiniões diferentes não se respeitam, e se esquece da tolerância, indulgência, paciência, e muitos mais, a educaçâo e respeito pela outra pessoa. os leitores vão descobrir como a gentileza e a atenção podem mudar a vida das pessoas. excelente leitura.",satisfação
"sem dúvidas um dos melhores livros que já li na vida. a leitura é tão fluida e compreensível, que você não se cansa de ler. terminei em 4 dias, o conteúdo faz você querer mudar para sempre a forma de conversar com as pessoas, é tão rico em ensinamentos, que já terei que lê-lo novamente várias vezes até conseguir absorver tudo.",satisfação
"bom, o livro é intitulado como uma auto-ajuda clássica. porém, o conhecimento que o conteúdo dele trás, é sem dúvida de um poder inestimável. de forma prática, com muitos exemplos do dia-a-dia, carnegie nos ensina a envolver as pessoas na sua fala, e isso no mercado é uma arma fantástica, eu diria até perigosa, caso seja utilizada com más intenções. mas como fiz o ditado: uma faca pode ser usada pra alimentar, mas também para ferir, depende da intenção, de quem a possui.",satisfação
"o que mais gosto aqui são as histórias, você entende como funciona esse método incrível do carnegie, é extremamente prático e não tem nada de mirabolante e impossível. como eu disse, é um clássico que perdura gerações, leia.",satisfação
"antes de tudo quero elogiar o ótimo serviço de entrega, os livros chegaram em perfeito estado. quanto ao livro como fazer amigos e influenciar pessoas, recomendo muito! se levado na prática o conhecimento deste livro, pode virar um divisor de águas na sua vida.",satisfação
"dicas piegas, desimportantes. linguagem cafona. exemplos chatos, longos, puxa saco de políticos democratas (deus no céu, roosevelt na terra, ecati). perdi meu tempo!não recomendo",insatisfação
"comprei o livro alguns meses atrás.posso dizer que o livro é realmente muito bom e fácil ler, o autor traz uma linguagem bem simples de acompanhar.ao longo do livro, muitas historias são contatas para exemplificar a mensagem que o autor deseja passar, fica meio repetitivo no final, mas mesmo assim vale muito a pena ler.",satisfação
"algumas coisas que ele ensina no livro eu admito que já fazia pois faz parte da minha personalidade. sempre fui do tipo que mais ouve e se interessa pelas histórias dos outros do que conta as próprias histórias.o mais legal é que de todas as dicas que ele passa, ele exemplifica seus ensinamentos com história reais suas ou de seus alunos.não sei como tem gente que não gostou desse livro. eu comprei por que sei que preciso melhorar meu relacionamento interpessoal, ainda mais agora que entrei na area de vendas.",satisfação
"                    a mídia não pôde ser carregada.                 entrega chegou super rápido, porque sou assinante prime, claro rsrsrs, o livro veio bem embalado, sobre seu conteúdo ainda não li, mais acredito que vou ter bastante aprendizado, então super recomendo 😁🤙.",satisfação
"livro com ensinamentos muito básicos e intuitivos. o lado bom é que se encontra cheio de exemplos práticos que ajudam na memorização e facilita na aplicação do método. além disso, os exemplos datados e a estrutura repetitiva acabam tornando o livro um pouco cansativo.recomendo, mas como um livro de introdução ao tema.",neutro
"dale carnegie nos faz enteder como lidar com com as coisa mais complicada no nosso dia-a-dia que são as pessoas kkk, abrir mão dos nossa ignorâncias e do nosso egocentrismo, ver as coisas de um modo mais altruísta, ver as coisas não somente do nosso ponto de vista.gostei muito desse livro, apareceu em momento q tava precisando dele kkk.",satisfação
"li o livro pela necessidade que senti de me relacionar melhor com os pacientes que lido no dia a dia e fiquei feliz com o resultado. o livro possui estratégias bem definidas de acordo com o objetivo do mesmo. confesso que algumas histórias são longas e difíceis de acreditar mas isso tem mais a ver com a personalidade do autor. no final das contas, atendeu minha necessidade e superou as expectativas.",satisfação
"sempre ouvi falar desse livro mas tinha preconceito devido ao nome. sempre pensei que fosse o tipo de auto ajuda barata. no entanto, fiquei surpreso ao ver que ele é feito de exemplos reais e mostra como podemos influenciar pessoas se preocupando genuinamente com o que é importante para elas.",satisfação
"todos (e acredito que você seja inteligente, astuto e com objetivos) que desejarem alcançar os seus objetivos deveriam ler este livro, pois acredito que você vá concordar comigo que precisamos de outras pessoas ao longo de nossa caminhada e precisaremos que façam coisas para nós e este livro nos mostra como convencer as pessoas a fazerem o que precisamos sem impormos de forma rude a nossa opinião.",satisfação
"                    a mídia não pôde ser carregada.                 produto excelente! além de entregarem muito antes do prazo estimado, chegou em ótimo estado. o conteúdo do livro também é ótimo e inspirador.  o autor conseguiu sintetizar de uma maneira simples, inteligente e com exemplos práticos conceitos que eu já vinha ponderando há um tempo. planejo adaptar os princípios propostos por dale carnegie ao meu estilo de vida.",satisfação
"livro com uma leitura gostosa, com histórias de exemplos práticos de situações onde dale carnegie aborda como lidar com qualquer tipo de pessoas e situações. me ajudou enxergar áreas que estava com dificuldades e ainda entender o porquê de ter dado algumas coisas certas ou erradas na minha vida. recomendo demais esse livro e pretendo reler novamente em breve.",satisfação
"comprei por indicação, mas parece o óbvio. típico livro de auto ajuda.",neutro
"o livro é repleto de exemplos que muitas vezes não são aplicaveis em experiências do dia a dia, pelo valor espera exemplos mais práticos e objetivos!",insatisfação
"o livro é muito bom. as lições apresentadas são ótimas, tenho certeza que após a leitura o indivíduo já não será mais o mesmo. apliquei muita coisa e mudanças estão acontecendo. se estiver em dúvida (comprar ou não comprar?) recomendo que compre. garanto que em pelo menos um aspecto a tua vida vai ser transformada.",satisfação
"simplesmente um dos melhores livros que já li, sem papinho de motivação, direto ao assunto, conteúdo que se aplicado da certo. trabalho com atendimento e apliquei várias técnicas apresentadas no livro, deu muito certo.",satisfação
livro chegou amassado,insatisfação
"eu não curti muito, mas opinião cada um tem a sua, portanto leiam e tiram o que for de bom pra vocês.eu achei muita enrolação. são muitos exemplos que não precisavam de tantos assim",neutro
o nome do livro já diz. mas o mais interessante é que aprendemos mais sobre nós mesmos e como funcionamos na presença de outras pessoas. minhas relações nunca mais foram as mesmas.,satisfação
"é um bom livro, mas poderia ser mais sucinto. o autor conta muitos casos e às vezes se torna enfadonho e cansativo. no entanto aborda princípios importantes e práticos para melhorias na vida pessoal e profissional.",neutro
"um livro que chama a atenção pela abordagem.. direta e objetiva. uma leitura interessante, cheia de contos curtos que se mantem dentro do contexto durante todo o livro. excelente livro e faz jus ao título de best seller. imperdível.",satisfação
sem dúvidas está entre os melhores livros da história. se trata de técnicas práticas aplicáveis a múltiplas situações reais. recomendo.,satisfação
"esse livro é maravilhoso, vocês vão amar, ele prende você e você aprende muita coisa boa, não é dinheiro jogado fora não, podem adquirir, vocês não vão se arrepender!",satisfação
"todos que queiram se relacionar melhor com pessoas (vendedores, líderes, pais, etc) devem ler esse livro. nele você vai encontrar informações valiosas, acompanhadas de exemplos, para se relacionar melhor com sua família, amigos, clientes e etc.",satisfação
"o livro tem bons conselhos, dá  boas dicas para aperfeiçoarmos nas relações interpessoais. até a metade é bastante interessante, depois fica repetitivo e com muitos exemplos de menor importância.",satisfação
"                    a mídia não pôde ser carregada.                 chegou bem embalado, chegou rápido. tudo certinho! só fiquei chateada porque fiquei procurando meu livro nos vizinhos porque estava falando no aplicativo que já tinha sido entregue ontem e recebi só hj, mais fora isso tudo ok",satisfação
apesar do título canastrão esse livro sem dúvidas nenhuma é  divisor de água. descobri ele por acaso e me considero com sorte. é um livro de cabeceira para meus novos projetos,satisfação
"o livro apresenta excelentes conceitos que, se seguidos, podem aumentar muito sua capacidade de sucesso. mas estes conceitos são apresentados de forma repetitiva com profusão remexemo-nos similares.mesmo assim, excelente livro",satisfação
"este item depende de um prazo maior para dar uma melhor opinião, mas já indico pois gostei muito até onde li. ótima escrita e muito fácil de entendimento. foi uma recomendação de leitura e eu estou gostando muito.",satisfação
"sensacional o conteúdo deste livro. o autor é um profundo conhecedor da mente humana. aqui sim tem muitos ensinamentos genuínos sobre o comportamento humano. esse livro caí bem para todos que queiram se tornar pessoas melhores, que queiram evoluir nas relações sociais, profissionais, familiar.",satisfação
"os ensinamentos do autor servem em qualquer tempo e para qualquer pessoa, tanto pessoal como profissional. é um livro para ser lido com calma e poucos capítulos por vez para que se possa refletir sobre o que foi dito, senão se torna um pouco cansativo.",satisfação
"ainda estou lendo porém, cheguei a conclusão que nunca é tarde para revermos nossos conceitos. cada vez mais com o passar do tempo, vamos perceber que lidar com pessoas será/é primordial (mesmo que você não seja um líder). manter bons relacionamentos é importante em todos os aspectos da nossa vida.",satisfação
"o livro até tem dicas interessantes para o dia a dia, porém os exemplos estão totalmente ultrapassados para o mundo atual, onde não existem mais cartas e telegramas.poderia ser resumido em um livreto, ou em alguns posts.",insatisfação
"livro fantástico. ainda que escrito na primeira metade do século xx, traz conceitos muito atuais para nossos tempos. pode ser tranquilamente usado como manual de relações interpessoais, seja em negócios, seja em qualquer outra área da vida.",satisfação
"esse livro é um divisor de águas, é aquele que você desejaria que todos lessem e aquele que você desejaria ter lido há muito tempo. é simplesmente maravilhoso, recomendo muito essa leitura.",satisfação
"nunca foi tão necessária a leitura desse livro. é útil para as relações de trabalho e negócios, amizades, casamento... o autor é claro em explicar os conceitos e descreve inumeras situações de pessoas que aplicaram e tiveram um resultado muito positivo. todos deveriam ler!",satisfação
"dale carnegie é um autor atemporal e acredito que como fazer amigos e influenciar pessoas nunca irá ""envelhecer"".o livro é altamente recomendado para quem quer realmente melhor a forma de se relacionar com as pessoas e ser um líder, marido, pai, amigo melhor :)",satisfação
"com uma sintaxe simples, este livro nos mostra os pontos positivos do poder da escuta. nunca foi tão enfático, que precisamos  ter empatia e escutar o próximo. leitura para a vida toda!!!",satisfação
"os princípios trazidos são muito interessantes. as vezes o fato de tantas citações exemplificando atitudes de pessoas fica um pouco duvidoso, mas, no geral, o livro traz uma abordagem muito bacana.",satisfação
"este é,provavelmente,o livros mais valioso e mais bem escrito que já li. ele nos ensina muitos princípios que ajudam a sermos pessoas melhores e bons líderes. os ensinamentos sobre como lidar com as pessoas do jeito certo é muito valioso.",satisfação
livro transformador. muitos insights. vale a apena a leitura. um dos melhores que li.,satisfação
o livro é muito bom. reúne várias histórias reais dos princípios sendo usados por várias personalidades e pelo próprio autor também. tem uma ótima didática e o próprio autor te incentiva e dá conselhos de como tirar o melhor proveito do livro.,satisfação
"todos deveriam procurar entender um pouco mais sobre relacionamentos interpessoais, evitando inúmeros problemas e situações ruins. acredito que esse livro é essencial para qualquer indivíduo.",satisfação
concordo com todos que dizem que este livro deve ser o livro de cabeceira de todos. ele é maravilhoso!o dale foi magnífico ao escreve-lo. tudo neste livro é aplicável. ( inclusive esta avaliação!)podem confiar no que ele promete.,satisfação
"bom livro interessante fácil de ler .excelente texto , fácil de ler , instrutivo, algumas partes repetitivas , no",satisfação
"dicas práticas, simples e muito humanas.farei uma nova leitura para potencializar os insightsrecomendo para todos que precisam ter relações mais prósperas",satisfação
"sem palavras para esta obra! incrível!deveria ser leitura obrigatória em todos os cantos do mundo.inicialmente, comprei e-book e fiquei tão fascinado, que tive de compra o físico para poder ter perto de mim.",satisfação
não é um livro bobo. possui dicas que realmente funcionam.,satisfação
"ainda não terminei o livro, mas só pelas primeiras páginas quando comecei a ler, já fiquei impressionada. me pergunto porque não comecei a ler esse livro antes, que já está a tanto tempo aqui guardado. leiam não irão se arrepender!",satisfação
um clássico que nunca sai de moda. livro essencial para formação de qualquer pessoa. todo adolescente deveria ler no ensino médio. pouparia muitos problemas futuros.,satisfação
acho que este foi e será o livro mais importante que li e lerei na vida. não achei que fosse ser o livro que foi. 👏🏻,satisfação
"excelente leitura, reflexão e aprendizado! recomendo muito a leitura. perfeito no kindle!",satisfação
"li em uma semana, muito bom! apesar de ser um livro muito antigo, é muito atual e várias regras lá, fazem mesmo a diferença",satisfação
"as relações humanas estão, na minha opinião, entre as faculdades de maior importância para o desenvolvimento humano. e este livro, de uma maneira pratica e simples, consegue contribuir para o enriquecimento pessoal nessa área. demais.",satisfação
"muito bom , recomendado para aqueles que querem ter um pouco de vantagem sobre a vida. ajuda no dia a dia em casa e também no trabalho.",satisfação
"dicas muitos importantes sobre interagir e influenciar pessoas, porem o titulo nao e dos melhores, pelo menos as pessoas que me viam que este livro falaram. fora isso, legal",satisfação
"ótimo livro. um clássico. não é o melhor livro que você lerá na vida, mas é uma leitura obrigatória. e releitura obrigatória também.",satisfação
livro muito bom! boas dicas recomendo. sem falar que é um clássico de auta ajuda...,satisfação
"comecei a ler o livro , estou amando , um otimo livro ,super recomendo , sao varios anos de experiencia de um autor lançado em um livro , vale a pena comprar",satisfação
comprei para meu filho ele gostou muito,satisfação
"vale a pena a leitura, já li três vezes",satisfação
"sensacional, principalmente para os dias atuais.",satisfação
"dale carnegie é um gênio. esse livro afetou muito positivamente minhas relações pessoais e de trabalho, simplesmente maravilhoso",satisfação
eu gostei muito do livro. a forma como aborda cada assunto é muito simples de entender além de contar com exemplos o que também facilita muito a leitura.super recomendo a leitura.,satisfação
"ajuda no crescimento interpessoal,  ajuda torna os relacionamentos mais saudáveis. o livro nos ajuda num momento em que as pessoas estão cada vez mais se comunicando por meios eletrônicos,  e assim resgatar a essência das relações interpessoais.",satisfação
livro vai muito alem de boa comunicação. é um estilo de vida.,satisfação
"embora seja muito focado no mundo dos negócios, ainda é um excelente livro com ótimas lições para usar no dia de hoje. recomendo a leitura é bem tranquila.",satisfação
muito exemplo prático que facilita a absorção do conteúdo. as dicas e os resumos no final dos capítulos também são ótimo.,satisfação
"é uma leitura lenta, porque te faz refletir a cada página que você lê e relê. os ensinamentos desse livro são extremamente valiosos. não tenho contras, daria certamente uma cópia do livro de presente a qualquer amigo.",satisfação
"boa noite!o livro é excelente!mas seria ótimo se quem já tem o livro pudesse ter uma versão digital gratuita.tenho problema de visão, e ler no celular ou tablet é bem melhor.",satisfação
nada de extraordinário,neutro
um livro maravilhoso que vale a pena ler e reler . testemunhos de superação rumo a jornada da evolução diária no relacionamento humano.,satisfação
"é um manual de como fazer amigos e influenciar pessoas.é aquele livro que quando vc lê, se pergunta como não tinha lido antes.cumpre com o que diz.linguagem de fácil entendimento",satisfação
"leitura obrigatória para todo mundo que queira viver melhor em sociedade, ajuda em todos os relacionamentos. uma obra prima!",satisfação
"um livro excelente que possibilita assimilar muito bem seu conteúdo com leitura simples, e que realmente possibilita aspectos para mudanças comportamentais.",satisfação
"livro excelente, com uma didática impressionante.será de grande valia para o dia a dia de qualquer pessoa.boa leitura.",satisfação
"o livro contém princípios sobre o relacionamento humano que apesar de parecerem simples e modestos, mas são sinceramente essenciais para mantermos boas relações com todos.",satisfação
entrega dentro do prazo. produto conforme anunciado.,neutro
"livro fantástico, deve ser sempre revisitado para tirar dele todo o ensinamento possível.muda o pensamento e como nos relacionamos com os outros.",satisfação
maravilhoso... leitura leve e gostosa.no primeiro dia você já se decide a mudar as atitudes porque o que lê faz sentido!não é a toa que continua na lista de mais vendidos do mundo!,satisfação
"simplesmente um ótimo livro que todas as pessoas deveriam ler independente de sua área de atuação profissional ou classe social, fará bem e acrescentará muito valor na vida de qualquer pessoa.",satisfação
"fala algumas coisas óbvias, mas que precisam ser ditas. um bom livro para introvertidos, assim como eu!",satisfação
"gostei muito desse livro, ele fala de coisas que até parecem óbvias, mas a gente acaba nao praticando. recomendo.",satisfação
é uma obra prima que resume bem a obra de dale carnegie.,satisfação
"o princípio do livro é muito atual é raro hoje: colocar o outro em evidência, tratar como gostaria de ser tratado e olhar sob a perspectiva do outro para ter boas relações. livro bem escrito e de leitura fluida. recomendo!",satisfação
"o livro é muito interessante, se você gosta e tem interesse em desenvolvimento pessoal é o livro ideal. a única coisa que não gostei muito é que o livro dá muitos exemplos o livro todo, tirando isso o livro é incrível",satisfação
vale cada centavo. impossível terminar esse livro sem tirar nenhuma lição.,satisfação
o livro possui uma linguagem e modo de escrita que fazem não querer parar. o conteúdo é tão pertinente e atual que parece ter sido escrito esse ano. é um livro divisor de águas.,satisfação
"apesar de ser tão antigo, tudo que mostra se mantém firme até hoje.com exemplos de pessoas reais que seguiram o que foi ensinado e colhendo bons frutos,  pessoais quanto  profissionais.",satisfação
"a primeira vez que o li, a anos atrás, fez grande diferença na minha perspectiva sobre relacionar com as pessoas. é o melhor livro que já li",satisfação
mais de 50 anos e continua sendo um dos melhores livros de como ser uma pessoa melhor. você vai ser melhor com você e com os outros. livro para ser relido várias e várias vezes. é livro de cabeceira!,satisfação
"livro excelente, mas uma coisa nunca se esqueça, nunca deixe de ser você mesmo! nem sempre você precisa agradar todo mundo, ainda mais quando o outro não compactua com seus valores",satisfação
amei o livro. sem contar que  tudo o que eu compro no amazon chegar sempre antes. muito satisfeita com a amazon. obrigada!,satisfação
muito bom. fácil de ler e entender seu conteúdo. muito útil para aprender ou aprimorar os relacionamentos pessoais e profissionais.,satisfação
tenho lido a todo momento durante minha folga... leitura que te estiga a não parar de ler e agregar conhecimento para a vida... livro pra ler e reler sempre!,satisfação
cómo fazer amigos e influenciar pessoas é um livro fantástico.as orientações do autor são excelentes.eu super recomendo a leitura desse livro.,satisfação
"muito bom!o autor trabalha, numa linguagem simples, a forma de desenvolver e aprimorar as relações humanas!vale a leitura.",satisfação
"recomendo este livro a todas as pessoas, afinal temo relações direta com pessoas diariamente.",satisfação
"livro que precisa ser lido por qualquer um que queira se relacionar melhor com as pessoas ao seu redor! trás exemplos que, apesar de antigos, são bastante coerentes e explicam muito bem os conceitos!",satisfação
"livro repleto de lições práticas para lidarmos, compreendermos e exercermos maior influência nas pessoas que fazem parte do nosso círculo de relacionamento.",satisfação
"livro muito bom, realmente incrivel o conteúdo desse livro, serve tanto para as relações entre familia, amigos e até nos negócios. recomendo muito!!",satisfação
"muito bom, o livro fala como devemos nos comunicar com as pessoas de forma, que não ofendendo as pessoas com palavras que não percebemos que pode magoar",satisfação
o material é ótimo e a impressão muito boa! chegou intacto sem qualquer amassado ou problema. o conteúdo do livro é de excelente qualidade para quem gosta de livros do gênero.,satisfação
"livro sensacional, que não envelheceu com o tempo. seus ensinamentos e exemplos são aplicáveis até hoje e continuarão a ser por muitos séculos.",satisfação
"sensacional, fantástico muito bom, super didatico, com exemplos autoexplicativo, prende a atenção faz querer ler mais e mais, bom mesmo.",satisfação
"não vou entrar na questão da qualidade do livro/do texto do autor. e sim da qualidade do produto entregue. veio todo cheio de manchas e arranhões, me decepcionei bastante com o estado da capa do livro",insatisfação
chegou a compra conforme eu tinha combinado e melhor que pensei?,satisfação
livro bom,satisfação
"o livro é fantástico claro, mas a versão que recebi parece muito antiga, não é versão atualizada. mas só me atentei a isso depois que já tinha passado o prazo de devolução.",satisfação
"livro muito bom, recomendo",satisfação
"fantástico, indispensável para relações interpessoais.estou comprando outros para dar de presente às pessoas que gosto, assim como procurando outros livros do mesmo autor.",satisfação
o livro é lindo meio emborrachado e chegou em perfeito estado.,satisfação
um dos melhores livros que já li na minha vida. é aquele tipo que você sente a necessidade de ler e reler sempre. mantém na mesa pra consultar sempre que precisa.,satisfação
"um conteúdo muito interessante sobre negociação, relações humanas. indico muito! deveria estar como livro básico para todos lerem! livro atemporal .",satisfação
"essa leitura é recomensada à todos, leve, prática, objetiva, eficaz e atemporal. se encaixa perfeitamente nas tratativas interpessoais, de qualquer pessoa que preze pela boa vida.",satisfação
tanta coisa boa nele que fiquei perdida na leitura 📚 tudo de bom. dou até 200 estrelas.,satisfação
"para uma boa comunicação, recomendo.",satisfação
